Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
26,1746969284.6050503,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2301.36,0,-0.462,2952.63,0,49.9988,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
27,1746969284.6249862,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2362.19,0,-0.442,2952.63,0,49.9987,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
28,1746969284.6408427,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2424.29,0,-0.422,2952.63,0,49.9986,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
29,1746969284.6611276,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2487.68,0,-0.402,2952.63,0,49.9986,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
30,1746969284.6840003,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2552.39,0,-0.382,2952.63,0,49.9985,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
31,1746969284.7012894,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2618.45,0,-0.362,2952.63,0,49.9984,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
32,1746969284.7216237,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2685.9,0,-0.342,2952.63,0,49.9983,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
33,1746969284.7413497,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2754.82,0,-0.322,2952.63,0,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
34,1746969284.763174,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2825.22,0,-0.302,2952.63,0,49.9981,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
35,1746969284.7830331,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2897.14,0,-0.282,2952.63,0,49.998,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
36,1746969284.8055978,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2970.62,0,-0.262,2952.63,0,49.9979,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
37,1746969284.8232193,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,3045.68,0,-0.242,2952.63,0,49.9977,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
38,1746969284.8436072,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,3122.36,0,-0.222,2952.63,0,49.9976,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
39,1746969284.8643022,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,3200.66,0,-0.202,2952.63,0,49.9975,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
40,1746969284.8814273,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,3280.47,0,-0.182,2952.63,0,49.9973,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
