Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
0,1746968592.9329562,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.982,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
1,1746968592.9529629,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.962,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
2,1746968592.975462,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.942,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
3,1746968592.993947,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.922,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
4,1746968593.016705,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.902,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
5,1746968593.0324302,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.882,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
6,1746968593.0580113,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.862,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
7,1746968593.0770974,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.842,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968590.027273,,False
8,1746968593.096477,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.822,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
9,1746968593.1130672,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1051.6,0,-0.802,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
10,1746968593.1329763,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1055.99,0,-0.782,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
11,1746968593.1532497,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1060.38,0,-0.762,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
12,1746968593.1783602,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1064.76,0,-0.742,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
13,1746968593.1941464,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1069.14,0,-0.722,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
14,1746968593.2142963,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1073.52,0,-0.702,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
15,1746968593.2348683,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1077.89,0,-0.682,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
16,1746968593.252785,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1082.26,0,-0.662,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
17,1746968593.27692,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1086.62,0,-0.642,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968590.027273,,True
