Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
0,1746968433.8490622,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.982,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
1,1746968433.8686268,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1051.6,0,-0.962,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
2,1746968433.8910606,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1055.99,0,-0.942,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
3,1746968433.9116247,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1060.38,0,-0.922,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
4,1746968433.9307203,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1064.76,0,-0.902,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
5,1746968433.9496129,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1069.14,0,-0.882,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
6,1746968433.9685142,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1073.52,0,-0.862,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
7,1746968433.9885046,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1077.89,0,-0.842,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
8,1746968434.0112143,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1082.26,0,-0.822,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
9,1746968434.030764,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1086.62,0,-0.802,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
10,1746968434.0526888,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1090.98,0,-0.782,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
11,1746968434.0704627,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1095.33,0,-0.762,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
12,1746968434.0883784,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1099.68,0,-0.742,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
13,1746968434.1114151,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1104.03,0,-0.722,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
14,1746968434.129856,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1108.37,0,-0.702,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
15,1746968434.149143,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1112.7,0,-0.682,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
16,1746968434.1701555,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1117.04,0,-0.662,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
17,1746968434.193001,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1121.36,0,-0.642,2952.63,0,50,1,1,0.2,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
18,1746968434.2085614,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1130.09,0,-0.622,2952.63,0,50,1,1,0.2,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
19,1746968434.231515,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1138.82,0,-0.602,2952.63,0,50,1,1,0.30000000000000004,0.0,0.0,1,0.0,0,True,1746968431.541274,,True
