Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
0,1746968392.7128665,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.982,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
1,1746968392.7356114,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1051.6,0,-0.962,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
2,1746968392.7522194,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1055.99,0,-0.942,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
3,1746968392.7720902,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1060.38,0,-0.922,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
4,1746968392.7917812,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1064.76,0,-0.902,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
5,1746968392.8128994,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1069.14,0,-0.882,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
6,1746968392.8357558,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1073.52,0,-0.862,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
7,1746968392.8537426,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1077.89,0,-0.842,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
8,1746968392.876427,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1082.26,0,-0.822,2952.63,0,50,1,1,0.2,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
9,1746968392.8931656,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1091.02,0,-0.802,2952.63,0,50,1,1,0.2,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
10,1746968392.91589,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1099.78,0,-0.782,2952.63,0,50,1,1,0.30000000000000004,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
11,1746968392.935193,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1112.93,0,-0.762,2952.63,0,50,1,1,0.30000000000000004,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
12,1746968392.953859,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1126.08,0,-0.742,2952.63,0,50,1,1,0.30000000000000004,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
13,1746968392.9722342,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1139.21,0,-0.722,2952.63,0,50,1,1,0.4,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
14,1746968392.9974818,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1156.74,0,-0.702,2952.63,0,50,1,1,0.4,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
15,1746968393.0128477,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1174.27,0,-0.682,2952.63,0,50,1,1,0.5,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
16,1746968393.0326538,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1196.19,0,-0.662,2952.63,0,50,1,1,0.5,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
17,1746968393.0528054,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1218.1,0,-0.642,2952.63,0,50,1,1,0.5,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
18,1746968393.0759895,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1240,0,-0.622,2952.63,0,50,1,1,0.6,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
19,1746968393.0932922,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1266.31,0,-0.602,2952.63,0,50,1,1,0.6,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
20,1746968393.1147542,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1292.6,0,-0.582,2952.63,0,50,1,1,0.7,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
21,1746968393.1315978,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1323.32,0,-0.562,2952.63,0,50,1,1,0.7,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
22,1746968393.1529572,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1354.02,0,-0.542,2952.63,0,49.9999,1,1,0.7,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
23,1746968393.1736374,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1384.71,0,-0.522,2952.63,0,49.9999,1,1,0.7999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
24,1746968393.191433,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1419.83,0,-0.502,2952.63,0,49.9998,1,1,0.7999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
25,1746968393.214854,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1454.94,0,-0.482,2952.63,0,49.9998,1,1,0.7999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
26,1746968393.2341998,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1490.05,0,-0.462,2952.63,0,49.9998,1,1,0.8999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
27,1746968393.2572768,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1529.6,0,-0.442,2952.63,0,49.9997,1,1,0.8999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
28,1746968393.2721817,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1569.14,0,-0.422,2952.63,0,49.9997,1,1,0.9999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
29,1746968393.2923338,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1613.56,0,-0.402,2952.63,0,49.9997,1,1,0.9999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
30,1746968393.3117616,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1659.01,0,-0.382,2952.63,0,49.9996,1,1,0.9999999999999999,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
31,1746968393.3323941,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1705.51,0,-0.362,2952.63,0,49.9996,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
32,1746968393.3585563,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1753.09,0,-0.342,2952.63,0,49.9995,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
33,1746968393.3724847,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1801.76,0,-0.322,2952.63,0,49.9995,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
34,1746968393.3986707,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1851.57,0,-0.302,2952.63,0,49.9995,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
35,1746968393.4168358,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1902.53,0,-0.282,2952.63,0,49.9994,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
36,1746968393.436866,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1954.67,0,-0.262,2952.63,0,49.9994,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
37,1746968393.4557638,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2008.01,0,-0.242,2952.63,0,49.9993,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
38,1746968393.4726775,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2062.59,0,-0.222,2952.63,0,49.9993,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
39,1746968393.496377,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2118.43,0,-0.202,2952.63,0,49.9992,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
40,1746968393.5119054,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2175.45,0,-0.182,2952.63,0,49.9991,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
41,1746968393.53238,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2233.66,0,-0.162,2952.63,0,49.999,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
42,1746968393.5575106,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2293.08,0,-0.142,2952.63,0,49.999,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
43,1746968393.5714648,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2353.74,0,-0.122,2952.63,0,49.9989,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
44,1746968393.5936704,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2415.66,0,-0.102,2952.63,0,49.9988,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
45,1746968393.6154962,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2478.87,0,-0.082,2952.63,0,49.9987,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
46,1746968393.633868,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2543.4,0,-0.062,2952.63,0,49.9986,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
47,1746968393.651716,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2609.27,0,-0.042,2952.63,0,49.9986,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
48,1746968393.674461,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2676.53,0,-0.022,2952.63,0,49.9985,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
49,1746968393.7144084,0.0215149,0.211392,-0.0623421,0.343068,0.0123565,2815.44,0,0.018,2952.63,0.000244141,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
50,1746968393.7318587,0.0986947,0.320129,-0.0414272,0.343168,0.0123627,1051.16,1,0.038,2952.63,0.000976563,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
51,1746968393.7579622,0.0207066,0.425922,-0.0338379,0.343309,0.0121695,1055.55,1,0.058,2952.63,0.00146484,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
52,1746968393.7727997,0.0978273,0.532744,-0.0395884,0.343488,0.0117924,1059.94,1,0.078,2952.63,0.00219727,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
53,1746968393.7930884,0.0171955,0.634643,-0.0452984,0.343706,0.0112421,1064.32,1,0.098,2952.63,0.00268555,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
54,1746968393.8125281,0.094008,0.730587,-0.0634604,0.343961,0.0105025,1068.71,1,0.118,2952.64,0.00341797,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
55,1746968393.8364403,0.013774,0.810564,-0.0923613,0.344247,0.00954741,1073.08,1,0.138,2952.64,0.00390625,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
56,1746968393.8516736,0.0923934,0.867074,-0.121307,0.344559,0.00836247,1077.45,1,0.158,2952.64,0.00463867,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
57,1746968393.8726676,0.0142325,0.899294,-0.152301,0.344886,0.00685709,1081.82,1,0.178,2952.64,0.00512695,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
58,1746968393.8934445,0.0901686,0.901555,-0.185402,0.34522,0.00503939,1086.18,1,0.198,2952.64,0.00561523,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
59,1746968393.9162633,0.0136488,0.889578,-0.213622,0.345551,0.00290268,1090.54,1,0.218,2952.64,0.00610352,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
60,1746968393.9340622,0.0891701,0.86215,-0.231663,0.345876,0.0005843,1094.9,1,0.238,2952.64,0.00683594,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
61,1746968393.9566634,0.10359,0.856541,-0.256166,0.346225,-0.00204355,1099.68,1,0.26,2952.64,0.00732422,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
62,1746968393.974139,0.0356247,0.843804,-0.263915,0.346538,-0.00447828,1104.03,1,0.28,2952.64,0.0078125,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
63,1746968393.9937868,0.154388,0.822817,-0.267533,0.346843,-0.00675089,1108.37,1,0.3,2952.64,0.00830078,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
64,1746968394.0195277,0.0743886,0.835254,-0.276946,0.34715,-0.00918657,1047.2,1,0.32,2952.64,0.0090332,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
65,1746968394.0354772,0.262894,0.842979,-0.273746,0.34746,-0.0116203,1047.2,1,0.34,2952.64,0.0100098,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,True
66,1746968394.0558739,0.403627,0.852012,-0.276521,0.347778,-0.014036,1047.2,1,0.36,2952.64,0.0117188,49.9982,1,1,1.0,0.0,0.0,1,0.0,0,True,1746968379.0950785,,False
