Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
0,1746968980.4802532,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.982,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
1,1746968980.5008059,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1051.6,0,-0.962,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
2,1746968980.5199256,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1055.99,0,-0.942,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
3,1746968980.5422146,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1060.38,0,-0.922,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
4,1746968980.563683,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1064.76,0,-0.902,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
5,1746968980.5809684,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1069.14,0,-0.882,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
6,1746968980.6038785,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1073.52,0,-0.862,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
7,1746968980.6202846,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1077.89,0,-0.842,2952.63,0,50,1,1,0.1,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
8,1746968980.6398935,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1082.26,0,-0.822,2952.63,0,50,1,1,0.2,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
9,1746968980.6652975,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1091.02,0,-0.802,2952.63,0,50,1,1,0.2,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
10,1746968980.684944,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1099.78,0,-0.782,2952.63,0,50,1,1,0.2,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
11,1746968980.7054071,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1112.93,0,-0.762,2952.63,0,50,1,1,0.30000000000000004,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
12,1746968980.723754,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1126.08,0,-0.742,2952.63,0,50,1,1,0.30000000000000004,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
13,1746968980.7417068,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1139.21,0,-0.722,2952.63,0,50,1,1,0.30000000000000004,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
14,1746968980.7616196,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1152.33,0,-0.702,2952.63,0,50,1,1,0.4,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
15,1746968980.7798018,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1169.86,0,-0.682,2952.63,0,50,1,1,0.4,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
16,1746968980.7998993,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1187.37,0,-0.662,2952.63,0,50,1,1,0.4,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
17,1746968980.8260822,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1209.29,0,-0.642,2952.63,0,50,1,1,0.5,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
18,1746968980.8467164,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1231.19,0,-0.622,2952.63,0,50,1,1,0.5,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
19,1746968980.866159,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1253.08,0,-0.602,2952.63,0,50,1,1,0.6,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
20,1746968980.8864386,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1279.38,0,-0.582,2952.63,0,50,1,1,0.6,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
21,1746968980.9023693,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1305.68,0,-0.562,2952.63,0,50,1,1,0.6,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
22,1746968980.9220874,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1331.95,0,-0.542,2952.63,0,50,1,1,0.7,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
23,1746968980.9436564,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1362.65,0,-0.522,2952.63,0,50,1,1,0.7,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
24,1746968980.96123,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1393.34,0,-0.502,2952.63,0,49.9999,1,1,0.7999999999999999,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
25,1746968980.9842844,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1428.46,0,-0.482,2952.63,0,49.9999,1,1,0.7999999999999999,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
26,1746968981.0045457,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1463.57,0,-0.462,2952.63,0,49.9998,1,1,0.7999999999999999,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
27,1746968981.0200572,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1498.68,0,-0.442,2952.63,0,49.9998,1,1,0.8999999999999999,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
28,1746968981.0438697,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1538.22,0,-0.422,2952.63,0,49.9998,1,1,0.8999999999999999,0.0,0.0,1,0.0,0,True,1746968978.0739036,,True
